index,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,volume,avgVolume,exchange,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
AABA,AABA,,,0.0,,,,,,,,,,,,,,,,,,1638176236
AAGH,AAGH,America Great Health,0.17,-10.052907,-0.01899999,0.168,0.189,0.95,0.0065,3582052864.0,0.1364866,0.14596525,33955.0,89008.0,PNK,0.189,0.189,-0.001,,,21070899200.0,1638176236
AAIC,AAIC,Arlington Asset Investment Corp.,3.71,-1.0666656,-0.03999996,3.675,3.78,4.42,3.19,116788576.0,3.8074,3.93225,95823.0,140600.0,NYSE,3.75,3.75,-0.146,,2022-02-14T13:30:00.000+0000,31479401.0,1638176236
AB,AB,AllianceBernstein Holding L.P.,54.18,-2.4486868,-1.3600006,53.3,54.89,57.54,31.18,5350496768.0,53.3052,46.6614,194109.0,221546.0,NYSE,54.11,55.54,3.53,15.348442,2022-02-09T13:30:00.000+0000,98754093.0,1638176236
AC,AC,"Associated Capital Group, Inc.",40.22,-4.691942,-1.9799995,40.0,41.825,44.67,30.21,887176832.0,38.181,36.997,3281.0,6471.0,NYSE,41.49,42.2,4.547,8.845393,2022-02-08T21:00:00.000+0000,22058101.0,1638176236
ACBA,ACBA,Ace Global Business Acquisition Limited,10.08,0.0,0.0,10.08,10.08,12.0,9.7,61024320.0,10.09562,10.035465,1.0,1458.0,NASDAQ,10.11,10.08,-0.095,,,6054000.0,1638176236
ACBAU,ACBAU,Ace Global Business Acquisition Limited,10.5201,5.095898,0.5100994,10.01,10.01,11.31,9.76,,10.4706,10.419066,2.0,42.0,NASDAQ,10.52,10.01,-0.095,,,,1638176236
ACC,ACC,"American Campus Communities, Inc.",52.03,-3.2180052,-1.7299995,51.61,53.41,55.15,39.75,7240337920.0,51.9176,48.0423,344154.0,639741.0,NYSE,52.89,53.76,0.125,416.24,2022-02-21T10:59:00.000+0000,139156985.0,1638176236
ADAP,ADAP,Adaptimmune Therapeutics plc,4.07,-4.906543,-0.21000004,4.04,4.215,7.34,3.37,635750336.0,5.0955,4.879575,321653.0,1945925.0,NASDAQ,4.14,4.28,-1.002,,2022-02-23T13:30:00.000+0000,156204014.0,1638176236
ADILW,ADILW,"Adial Pharmaceuticals, Inc. WT EXP 073123",0.8955,-4.723904,-0.04439998,0.8955,0.8955,0.8955,0.8955,,0.0,0.0,200.0,0.0,NASDAQ,0.6601,0.9399,,,,,1638176236
ADP,ADP,"Automatic Data Processing, Inc.",229.62,-2.02671,-4.75,229.07,234.295,241.18,159.31,96758194176.0,216.493,200.9492,1365587.0,1331614.0,NASDAQ,233.74,234.37,6.32,36.332275,2022-01-25T13:30:00.000+0000,421384000.0,1638176236
ADSK,ADSK,"Autodesk, Inc.",254.17,-1.0626687,-2.7299957,252.62,260.0,344.39,245.05,55879274496.0,300.3618,294.22125,2154716.0,1468296.0,NASDAQ,258.18,256.9,5.928,42.876183,2022-02-23T10:59:00.000+0000,219850000.0,1638176236
AEF,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",7.93,-2.57986,-0.210001,7.9,8.08,9.22,7.5,402461760.0,8.342,8.6688,47796.0,56522.0,AMEX,8.05,8.14,3.367,2.3552122,,50751798.0,1638176236
AFGC,AFGC,"American Financial Group, Inc.",27.0105,-0.513811,-0.1395,26.9112,27.1,27.89,25.3,26958100.0,26.94722,26.99591,7142.0,7930.0,NYSE,26.95,27.15,,,,998060.0,1638176236
AFIN,AFIN,"American Finance Trust, Inc.",8.11,-3.4523807,-0.28999996,7.91,8.25,10.69,7.23,1001633600.0,8.4424,8.9161,1163432.0,878534.0,NASDAQ,8.25,8.4,-0.285,,2021-11-03T17:12:00.000+0000,123505993.0,1638176236
AFTPY,AFTPY,Afterpay Limited,78.14,-1.4379407,-1.1399994,75.15,79.01,127.25,64.91,22810783744.0,88.8547,88.0859,31562.0,91131.0,PNK,78.61,79.28,-0.392,,,291921983.0,1638176236
AGI,AGI,Alamos Gold Inc.,7.83,-1.3853921,-0.11000013,7.68,8.04,9.87,6.94,3073298432.0,7.8028,8.0208,1825466.0,2654273.0,NYSE,8.01,7.94,-0.049,,2022-02-22T10:59:00.000+0000,392502993.0,1638176236
AGRO3.SA,AGRO3.SA,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,24.59,-2.690939,-0.6800003,0.0,0.0,36.48,0.0,2441115904.0,28.5522,28.333,0.0,898016.0,EURONEXT,0.0,25.27,4.515,5.4462905,2022-02-07T19:00:00.000+0000,99272709.0,1638176236
AGRPY,AGRPY,Absa Group Limited,16.82,0.0,0.0,16.82,16.82,22.35,14.19,6980131840.0,19.0274,18.7201,17.0,663.0,PNK,16.82,16.82,2.024,8.310277,,414990002.0,1638176236
AHNR,AHNR,Athena Gold Corporation,0.197,22.741428,0.03649999,0.141,0.214,0.23,0.04,14064027.0,0.1318,0.1,11578.0,19934.0,MUTUAL_FUND,0.1999,0.1605,-0.014,,,71391000.0,1638176236
AINC,AINC,Ashford Inc.,20.3,-7.81109,-1.72,19.0,20.99,28.265,4.94,61360200.0,18.45168,15.373625,10408.0,15055.0,AMEX,20.99,22.02,-23.899,,2021-10-27T20:00:00.000+0000,3022670.0,1638176236
AIQ,AIQ,Global X Artificial Intelligence & Technology ETF,31.8,-2.0634494,-0.670002,31.71,32.17,33.45,25.595,,31.65398,30.22806,17778.0,29544.0,NASDAQ,32.07,32.47,,,,,1638176236
AIY.SI,AIY.SI,iFAST Corporation Ltd.,8.36,-2.107732,-0.1800003,8.32,8.62,10.1,2.58,2315017728.0,9.1644,7.8657,840400.0,1177301.0,EURONEXT,8.5,8.54,0.105,79.61905,2021-04-22T10:59:00.000+0000,276915996.0,1638176236
AIZN,AIZN,"Assurant, Inc. 5.25% Subordinat",26.34,-0.874588,-0.232399,26.305,26.5499,27.59,24.56,,26.93818,26.614225,2532.0,9234.0,NYSE,26.6,26.5724,,,,,1638176236
AKUS,AKUS,"Akouos, Inc.",7.73,-4.0942974,-0.3300004,7.5,8.09,23.49,7.5,266637840.0,10.0434,13.092,107664.0,101739.0,NASDAQ,8.015,8.06,-2.164,,2021-11-12T07:00:00.000+0000,34493899.0,1638176236
ALEC,ALEC,"Alector, Inc.",19.92,-6.39098,-1.3600006,19.6,21.28,43.32,13.0,1619019776.0,23.3771,22.53605,393344.0,589052.0,NASDAQ,20.92,21.28,-0.42,,2022-02-23T10:59:00.000+0000,81276093.0,1638176236
